Year,Country,Latitude,Longitude,Admin
2015,USA,32.6720436,-83.18907541,1
2015,USA,19.59697037,-155.5637176,1
2015,USA,43.50900699,-114.2152495,1
2015,USA,40.19197297,-89.25280858,1
2015,USA,40.19121094,-86.11387681,1
2015,USA,42.01424498,-93.35329812,1
2015,USA,38.48180115,-98.32881086,1
2015,USA,37.42352792,-84.98620435,1
2015,USA,44.99585667,-69.09660491,1
2015,USA,39.55389532,-76.91599713,1
2015,USA,42.54342503,-71.50976395,1
2015,USA,43.8291466,-84.73873385,1
2015,USA,46.27815958,-94.50978069,1
2015,USA,33.52738524,-89.70328628,1
2015,USA,38.35695573,-92.59971167,1
2015,USA,46.84054526,-109.6172401,1
2015,USA,41.49577584,-99.16117014,1
2015,USA,39.76343254,-117.1416554,1
2015,USA,43.82969567,-71.35790935,1
2015,USA,40.26492958,-74.31838825,1
2015,USA,40.71279012,-73.8781978,1
2015,USA,35.66204207,-79.15417707,1
2015,USA,47.3801634,-100.3075594,1
2015,USA,40.30821874,-82.82521273,1
2015,USA,35.95850828,-96.74889724,1
2015,USA,43.80428648,-120.1505449,1
2015,USA,40.88039772,-77.59048298,1
2015,USA,41.71607013,-71.58868977,1
2015,USA,33.94519383,-80.38775745,1
2015,USA,35.67553516,-86.60352746,1
2015,USA,31.60604025,-99.42299256,1
2015,USA,39.10708562,-111.7311726,1
2015,USA,44.10342074,-72.77608039,1
2015,USA,37.30873504,-78.59487821,1
2015,USA,47.37906783,-119.6791518,1
2015,USA,44.71916486,-89.53184772,1
2015,US VIRGIN ISLANDS,17.81267534,-64.78325226,0
2015,HONDURAS,15.57170589,-88.07115581,1
2015,HONDURAS,-17.4961432,-63.02848346,1
2015,HONDURAS,-17.41468591,-66.15186143,-999
2015,HONDURAS,-21.51676301,-64.72886583,-999
2015,HONDURAS,-21.26587469,-63.45239851,-999
2015,HONDURAS,38.02124778,-1.097451954,-999
2015,HONDURAS,-20.16571631,-64.43403766,1
2015,COLOMBIA,6.686560284,-73.45407339,1
2015,COLOMBIA,4.901999343,-74.20208915,1
2015,COLOMBIA,2.890423857,-75.21131163,1
2015,COLOMBIA,4.120733063,-75.18794744,1
2015,COLOMBIA,9.403871855,-75.3546137,1
2015,COLOMBIA,10.73887468,-74.87927634,1
2015,COLOMBIA,9.923924247,-75.09442034,1
2015,ECUADOR,0.961880449,-79.64321905,1
2015,ECUADOR,-0.254915434,-79.17864797,1
2015,ECUADOR,-0.451340331,-80.04957261,1
2015,COOK ISLANDS,-21.2292629,-159.7738636,1
2015,KIRIBATI,1.845470431,-157.2791311,0
2015,BRAZIL,1.510703059,-52.06063422,1
2015,BRAZIL,-12.07186501,-41.42292776,1
2015,ECUADOR,-0.974838362,-80.70986027,2
2015,ECUADOR,-1.330533197,-79.51920958,1
2015,ECUADOR,-1.042904941,-80.44394084,2
2015,PARAGUAY,-25.32485281,-57.5486591,2
2015,PARAGUAY,-25.33605161,-57.61545899,2
2015,PARAGUAY,-25.24738292,-57.42515423,1
2015,PARAGUAY,-25.34350577,-57.51068313,2
2015,PARAGUAY,-25.26348004,-57.57869137,2
2015,MEXICO,17.88217386,-99.67011144,1
2015,PARAGUAY,-25.53210674,-57.46747448,1
2015,MEXICO,19.27672919,-90.32531376,1
2015,MEXICO,19.24197919,-103.7038908,2
2015,MEXICO,23.24893638,-106.4147263,2
2015,MEXICO,19.5527586,-99.04148368,2
2015,MEXICO,20.66366699,-105.2351695,2
2015,MEXICO,17.00598928,-93.04916311,1
2015,MEXICO,19.19293809,-101.551739,1
2015,MEXICO,19.25931828,-87.24813086,1
2015,MEXICO,18.4398274,-95.19031451,1
2015,BRAZIL,-10.83162626,-38.54110162,2
2015,BRAZIL,-11.95915831,-40.16801067,2
2015,BRAZIL,-15.22250619,-49.96397935,1
2015,BRAZIL,-20.38552022,-54.62810818,1
2015,BRAZIL,38.97065124,-0.183694638,2
2015,BRAZIL,-23.09745714,-48.9255623,-999
2015,SINGAPORE,1.356544817,103.851078,0
2015,HONDURAS,14.4481417,-87.64650307,2
2015,,14.76521899,-85.9299002,2
2015,,14.06468374,-87.17089792,2
2015,,14.289364,-87.24092805,1
2015,,14.76280589,-87.60528102,1
2015,PANAMA,9.052909654,-79.4950321,1
2015,PARAGUAY,-25.46243794,-56.00993153,1
2015,,-25.42241647,-56.45050863,1
2015,,-25.56754865,-54.82468802,1
2015,INDIA,13.43253472,79.96441241,1
2015,,13.05618341,80.21861538,2
2015,,9.982130517,76.64099126,1
2015,,17.91578174,79.21057927,1
